"","temp","degree_centralization","betweenness_centralization","closeness_centralization","eigenvector_centralization","global_clustcoeff","assortativity","diameter","avg_degree","modularity","density","avg_path_length","vertices","edges"
"3892","190_330_10",1.76497175141243,0.11310640075225,0.196099357934691,0.689468416378846,0.681321003963012,-0.181863646333162,15,47.8666666666667,0.0663877918389833,0.811299435028249,1.65341905318527,60,1436
"3893","190_330_100",0.404761904761905,0.0122884768740032,0.120450102318213,0.2001182314819,0.870200333889816,-0.193248711735381,151,29.9047619047619,0.00541604121871073,1.4952380952381,1.17368421052632,21,314
"3894","190_330_101",0.423809523809524,0.0131037909458962,0.124848590158502,0.210501585269548,0.859528907922912,-0.188095095514702,87,29.5238095238095,0.00539021852237259,1.47619047619048,1.18421052631579,21,310
"3895","190_330_102",0.463157894736842,0.0229597357944542,0.36778071873825,0.203364477556572,0.833806818181818,-0.249221527184544,35,29.2,0.018765246762995,1.53684210526316,1.23157894736842,20,292
"3896","190_330_103",0.608187134502924,0.0473002800072517,0.463672689187328,0.264773633769595,0.792828685258964,-0.254253491129985,75,25.0526315789474,0.0386625238330627,1.39181286549708,1.30409356725146,19,238
"3897","190_330_104",0.654970760233918,0.0580498679082557,0.490304539860099,0.282229255523102,0.783157894736842,-0.278333188443595,49,24.2105263157895,0.043062381852552,1.34502923976608,1.32748538011696,19,230
"3898","190_330_105",0.647058823529412,0.0658428406084656,0.493560402078125,0.28373445922198,0.791208791208791,-0.245661028143688,88,21.6470588235294,0.0488539697542534,1.35294117647059,1.32352941176471,17,184
"3899","190_330_106",0.705882352941177,0.0877922453703704,0.52490440180809,0.301194156962476,0.79317697228145,-0.291315852778445,88,20.7058823529412,0.0487474173553719,1.29411764705882,1.35294117647059,17,176
"3900","190_330_107",0.716666666666667,0.0972557319223986,0.537747560930887,0.312047856062172,0.785904255319149,-0.259975017844397,296,19.25,0.0514420644290776,1.28333333333333,1.35833333333333,16,154
"3901","190_330_108",0.833333333333333,0.135280423280423,0.610237936666508,0.376204752139945,0.737942122186495,-0.246819338422392,385,17.5,0.0522448979591835,1.16666666666667,1.41666666666667,16,140
"3902","190_330_109",0.866666666666667,0.153481481481481,0.624487390915963,0.381599106761428,0.733777038269551,-0.258530942741469,546,17,0.0609861591695501,1.13333333333333,1.43333333333333,16,136
"3903","190_330_11",1.78842781998831,0.117808752777682,0.556088347865217,0.686155888451391,0.680562210509503,-0.186809505058695,15,48.271186440678,0.0602433404873122,0.832261835184103,1.65692577440094,59,1424
"3904","190_330_110",0.866666666666667,0.153481481481481,0.624487390915963,0.381599106761428,0.733777038269551,-0.258530942741469,535,17,0.0609861591695501,1.13333333333333,1.43333333333333,16,136
"3905","190_330_111",0.866666666666667,0.153481481481481,0.624487390915963,0.381599106761428,0.733777038269551,-0.258530942741469,525,17,0.0653114186851211,1.13333333333333,1.43333333333333,16,136
"3906","190_330_112",0.866666666666667,0.153481481481481,0.624487390915963,0.381599106761427,0.733777038269551,-0.258530942741469,525,17,0.0653114186851211,1.13333333333333,1.43333333333333,16,136
"3907","190_330_113",0.883333333333333,0.163513227513227,0.631126585055157,0.38423501510767,0.734797297297297,-0.285407133800101,525,16.75,0.0702829137892627,1.11666666666667,1.44166666666667,16,134
"3908","190_330_114",0.916666666666667,0.181375661375661,0.645648504934219,0.392148345541731,0.735551663747811,-0.334150446363238,432,16.25,0.0656804733727812,1.08333333333333,1.45833333333333,16,130
"3909","190_330_115",0.857142857142857,0.170231554160126,0.61484077841663,0.358865021844523,0.75875486381323,-0.348967297762478,431,16,0.0244444444444444,1.14285714285714,1.42857142857143,15,120
"3910","190_330_116",0.857142857142857,0.170231554160126,0.61484077841663,0.358865021844523,0.75875486381323,-0.348967297762478,421,16,0.0244444444444444,1.14285714285714,1.42857142857143,15,120
"3911","190_330_117",0.857142857142857,0.170231554160126,0.61484077841663,0.358865021844523,0.75875486381323,-0.348967297762478,387,16,-0.0797222222222222,1.14285714285714,1.42857142857143,15,120
"3912","190_330_118",0.857142857142857,0.170231554160126,0.61484077841663,0.358865021844523,0.75875486381323,-0.348967297762478,234,16,0.0244444444444444,1.14285714285714,1.42857142857143,15,120
"3913","190_330_119",0.876190476190476,0.212617739403454,0.627926154578929,0.363585280500248,0.769539078156313,-0.311191824673724,297,15.7333333333333,0.0247055443837978,1.12380952380952,1.43809523809524,15,118
"3914","190_330_12",1.76680303915839,0.112040056932204,0.533249879494858,0.688323800011711,0.680677745193874,-0.194468996801849,15,47.5254237288136,0.0621152582107077,0.819403857393337,1.66335476329632,59,1402
"3915","190_330_120",0.895238095238095,0.241267660910518,0.640041539194314,0.368978248358645,0.774793388429752,-0.272290948421551,297,15.4666666666667,-0.0805588585017836,1.1047619047619,1.44761904761905,15,116
"3916","190_330_121",0.791208791208791,0.196334648257725,0.582959358534806,0.321902061923331,0.804395604395604,-0.309650824442293,625,15.7142857142857,0,1.20879120879121,1.3956043956044,14,110
"3917","190_330_122",0.791208791208791,0.196334648257725,0.582959358534806,0.321902061923331,0.804395604395604,-0.309650824442293,596,15.7142857142857,-0.084297520661157,1.20879120879121,1.3956043956044,14,110
"3918","190_330_123",0.791208791208791,0.196334648257725,0.582959358534806,0.321902061923331,0.804395604395604,-0.309650824442293,554,15.7142857142857,-0.084297520661157,1.20879120879121,1.3956043956044,14,110
"3919","190_330_124",0.813186813186813,0.21835963182117,0.593884896953951,0.326630779555892,0.810810810810811,-0.324371205550735,558,15.4285714285714,-0.0853909465020576,1.18681318681319,1.40659340659341,14,108
"3920","190_330_125",0.82051282051282,0.230429292929293,0.604130339357612,0.335003139551478,0.80466472303207,-0.332592427946951,552,14.1538461538462,-0.0919187145557656,1.17948717948718,1.41025641025641,13,92
"3921","190_330_126",0.82051282051282,0.230429292929293,0.604130339357612,0.335003139551478,0.80466472303207,-0.332592427946951,551,14.1538461538462,-0.0919187145557656,1.17948717948718,1.41025641025641,13,92
"3922","190_330_127",0.67948717948718,0.140572390572391,0.47149025217207,0.328846862176661,0.824773413897281,-0.253598291391956,704,13.8461538461538,-0.0928395061728395,1.15384615384615,1.46153846153846,13,90
"3923","190_330_128",0.705128205128205,0.136363636363636,0.203841297591298,0.340019206770858,0.845201238390093,-0.285052268563422,549,13.5384615384615,-0.0947830578512397,1.12820512820513,1.33333333333333,13,88
"3924","190_330_129",0.666666666666667,0.16198347107438,0.515973500184026,0.274021127447944,0.845201238390093,-0.285052268563422,464,14.6666666666667,-0.0947830578512397,1.33333333333333,1.33333333333333,12,88
"3925","190_330_13",1.77030976037405,0.112216528305535,0.533653670848067,0.689564719975284,0.679704074416581,-0.195640869026614,15,47.3220338983051,0.0591138414298734,0.815897136177674,1.66393921683226,59,1396
"3926","190_330_130",0.666666666666667,0.16198347107438,0.515973500184026,0.274021127447944,0.845201238390093,-0.285052268563422,241,14.6666666666667,0,1.33333333333333,1.33333333333333,12,88
"3927","190_330_131",0.555555555555556,0.15625,0.473901098901099,0.251990288928602,0.854014598540146,-0.225589225589223,606,11.5555555555556,-0.120562130177515,1.44444444444444,1.27777777777778,9,52
"3928","190_330_132",0.555555555555556,0.15625,0.473901098901099,0.251990288928602,0.854014598540146,-0.225589225589223,580,11.5555555555556,-0.120562130177515,1.44444444444444,1.27777777777778,9,52
"3929","190_330_133",0.555555555555556,0.15625,0.473901098901099,0.251990288928601,0.854014598540146,-0.225589225589223,521,11.5555555555556,-0.120562130177515,1.44444444444444,1.27777777777778,9,52
"3930","190_330_134",0.555555555555556,0.15625,0.473901098901099,0.251990288928602,0.854014598540146,-0.225589225589223,473,11.5555555555556,-0.120562130177515,1.44444444444444,1.27777777777778,9,52
"3931","190_330_135",0.642857142857143,0.292517006802721,0.555345117845118,0.299070311531477,0.825,-0.155405405405402,525,9.5,-0.137119113573407,1.35714285714286,1.32142857142857,8,38
"3932","190_330_136",0.714285714285714,0.476190476190476,0.601851851851852,0.318765651616779,0.863013698630137,-0.0956521739130434,505,9,0.146604938271605,1.28571428571429,1.35714285714286,8,36
"3933","190_330_137",0.714285714285714,0.476190476190476,0.601851851851852,0.318765651616779,0.863013698630137,-0.0956521739130434,439,9,-0.013888888888889,1.28571428571429,1.35714285714286,8,36
