,temp,degree_centralization,betweenness_centralization,closeness_centralization,eigenvector_centralization,global_clustcoeff,assortativity,diameter,avg_degree,modularity,density,avg_path_length,vertices,edges
232,64_80,0.632034632,0.019047619,0.021008866,0.907460947,0.882352941,0.725609756,57,2.727272727,0,0.12987013,1.266666667,22,30
216,63_184,0.901960784,0.001401113,0.003877753,0.97397731,0.789473684,-0.035878598,12,2.901960784,0,0.058039216,1.2,51,74
213,62_245,2.974358974,0.051409933,0.082060512,0.807631262,0.915254237,-0.110406644,7,12.30769231,0,1.025641026,1.178571429,13,80
212,61_153,1.572463768,0.013615496,0.038435998,0.803225418,0.772357724,-0.051614242,17,11.83333333,0,0.514492754,1.272727273,24,142
197,58_128,0.41025641,0,0.085780886,0.363636364,1,0,56,11.07692308,-0.111111111,0.923076923,1,13,72
195,57_366,0.132275132,0,0.005185342,0.961538462,1,0,21,0.428571429,-0.333333333,0.015873016,1,28,6
194,56_294,1.032967033,0.00591716,0.041453457,0.834765238,0.875,-0.114521842,137,4.571428571,0,0.351648352,1.1,14,32
189,54_186,0.169354839,0,0.005937152,0.933333333,1,0,7,0.75,-0.25,0.024193548,1,32,12
188,51_403,1.251336898,0.007185491,0.007016691,0.985881862,0.545454545,-0.14079685,8,2.705882353,0,0.081996435,1.4,34,46
187,48_364,0.266666667,0,0.06,1,0,0,720,0.666666667,-0.5,0.133333333,1,6,2
184,47_377,1.741754386,0.022700408,0.006609757,0.958550122,0.597640891,-0.033675197,7,7.368421053,0.120382653,0.098245614,1.578947368,76,280
181,46_180,1,0.036363636,0.043268527,0.915463455,0.6,-0.352601156,39,3,0,0.272727273,1.333333333,12,18
180,45_380,2.292262112,0.002785086,0.002602382,0.93465094,0.806947433,-0.046009721,7,27.86842105,0,0.18455908,1.348387097,152,2118
175,44_331,0.8,0,0,1.333333333,0,0,0,0.8,0,0.2,0,5,2
174,43_129,1.358974359,0.011868687,0.036476815,0.926532458,0.75,-0.409865471,32,3.692307692,0,0.307692308,1.166666667,13,24
173,42_398,1.409356725,0.017308158,0.02814277,0.907948255,0.846153846,-0.268080479,145,4.631578947,0,0.257309942,1.2,19,44
171,41_159,1.252747253,0,0.010566357,1.031830501,0,-0.333333333,16,1.714285714,0,0.131868132,1,14,12
168,40_285,1.637804878,0.166918545,0.035576298,0.779644799,0.596456693,-0.138543391,376,20.48780488,0.009342404,0.512195122,1.623152709,41,420
165,39_327,0.656462585,0.018847887,0.010076039,0.905589412,0.807692308,-0.116987279,740,4.489795918,0,0.093537415,1.423076923,49,110
162,35_166,0.691699605,0.058100485,0.027078113,0.906784111,0.416666667,-0.255639098,106,2.782608696,0.0546875,0.126482213,1.571428571,23,32
