"upeople_id","X65scmChanges","X72scmChanges","X105scmChanges","X109scmChanges","X113scmChanges","X142scmChanges","X182scmChanges","X263scmChanges","X274scmChanges","X293scmChanges","X378scmChanges","X389scmChanges","X406scmChanges","X59scrChanges","X77scrChanges","X98scrChanges","X118scrChanges","X126scrChanges","X169scrChanges","X212scrChanges","X221scrChanges","X248scrChanges","X280scrChanges","X356scrChanges","X369scrChanges","X391scrChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","X6mslChanges","X7mslChanges","X8mslChanges","X9mslChanges","X10mslChanges","X11mslChanges","number_of_domain","country","X65linesadded","X65linesremoved","X72linesadded","X72linesremoved","X105linesadded","X105linesremoved","X109linesadded","X109linesremoved","X113linesadded","X113linesremoved","X142linesadded","X142linesremoved","X182linesadded","X182linesremoved","X263linesadded","X263linesremoved","X274linesadded","X274linesremoved","X293linesadded","X293linesremoved","X378linesadded","X378linesremoved","X389linesadded","X389linesremoved","X406linesadded","X406linesremoved","X59ReviewGotMerged","X77ReviewGotMerged","X98ReviewGotMerged","X118ReviewGotMerged","X126ReviewGotMerged","X169ReviewGotMerged","X212ReviewGotMerged","X221ReviewGotMerged","X248ReviewGotMerged","X280ReviewGotMerged","X356ReviewGotMerged","X369ReviewGotMerged","X391ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
823,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,33,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,NA,0.00366300366300366,0
824,0,53,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,9020,13912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,32,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,1,205,0,0,0,0,NA,0.00366300366300366,0
826,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,1339,34,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,28,0,0,0,0,NA,0.00366300366300366,0
831,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,78,35,0,0,156,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,NA,0.00366300366300366,0
832,0,10,1,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,2,20,0,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,185,32,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,33,29,93,43,0,0,0,2,0,0,19,0,0,11,0,0,2,35,0,0,0,0,NA,0.00366300366300366,0
872,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,NA,0.00366300366300366,0
873,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,230564,5480735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,2,0,0,0,0,0,21,0,0,0,0,NA,0.00366300366300366,0
874,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,252,0,0,0,0,NA,0.00366300366300366,0
875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,NA,0.00366300366300366,0
876,0,6,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,3815,2399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571,368,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,41,164,0,0,0,0,NA,0.00366300366300366,0
