"upeople_id","X72scmChanges","X263scmChanges","X293scmChanges","X77scrChanges","X212scrChanges","X391scrChanges","X1mslChanges","number_of_domain","country","X72linesadded","X72linesremoved","X263linesadded","X263linesremoved","X293linesadded","X293linesremoved","X77ReviewGotMerged","X212ReviewGotMerged","X391ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
724,352,0,0,0,0,0,15,3,9,33919,19862,0,0,0,0,0,0,0,45,16,16,16,0,0.383333333333333,0.0121699872411424,0.156841627226181
735,29,0,0,0,0,0,36,3,7,4248,3037,0,0,0,0,0,0,0,29,4,4,4,0,0.333333333333333,0.0122845254606697,0.00589190728039112
738,60,0,0,0,0,0,6,4,6,4636,2628,0,0,0,0,0,0,0,87,22,22,22,29.6388057766548,0.329004329004329,0.0126569357966725,0.0452624425382614
743,371,0,0,0,0,0,7,1,7,65972,26285,0,0,0,0,0,0,0,74,18,18,18,0,0.274509803921569,0.0126311500458389,0.0510375601143656
750,56,402,0,0,0,0,0,3,8,1044,748,75865,54996,0,0,0,0,0,75,10,10,10,0,0.355555555555556,0.0124037211163349,0.00086689441405317
756,280,0,0,0,0,0,71,3,6,47073,7759,0,0,0,0,0,0,0,12,76,76,76,0.355555555555556,0.112280701754386,0.012619580704254,0.503135293969416
758,273,0,0,0,2,0,10,4,8,139591,69589,0,0,0,0,0,2,0,6,36,36,36,12.4768054933572,0.107936507936508,0.0126427406199021,0.162152896562953
760,355,0,0,0,16,0,132,1,6,32049,13450,0,0,0,0,0,12,0,28,54,54,54,158.188360627915,0.0908455625436757,0.0126685737637924,0.315958196039827
765,325,0,245,0,0,0,118,2,10,24252,12060,0,0,36354,20667,0,0,0,71,158,158,158,12.886427619436,0.0351527856163831,0.012646608873024,0.732638673552928
771,98,0,0,0,0,0,1,4,10,11496,4186,0,0,0,0,0,0,0,98,56,56,56,5.37288169147925,0.118181818181818,0.0126362987873229,0.106332159082325
804,21,0,0,0,40,0,7,3,9,827,352,0,0,0,0,0,37,0,19,52,52,52,15.1655820974969,0.200603318250377,0.0126633986928105,0.033283819021346
823,5,0,0,0,9,0,0,2,10,28,5,0,0,0,0,0,0,0,115,46,46,46,50.6514969926135,0.228019323671498,0.0126530612244898,0.00680478200685336
824,53,0,2,0,137,2,0,2,10,9020,13912,0,0,296,32,0,127,1,108,46,46,46,0,0.21256038647343,0.0126157289653067,0.0820140621692295
832,10,0,1,0,20,4,0,1,8,185,32,0,0,2,2,0,19,2,21,44,44,44,46.25,0.224101479915433,0.0126362987873229,0.00693246650901593
872,1,0,0,0,0,0,0,2,10,1,1,0,0,0,0,0,0,0,97,12,12,12,0,0.303030303030303,0.0126093146227374,0.0010027246869711
873,14,0,0,0,16,0,0,2,10,230564,5480735,0,0,0,0,0,9,0,13,14,14,14,0,0,0.0115909515797345,0.386142868212832
874,4,0,0,0,9,0,0,1,9,23,6,0,0,0,0,0,7,0,124,20,20,20,78.0287020566475,0.294736842105263,0.0126763443058679,0.00239602119281544
875,1,0,0,0,0,0,0,3,6,78,7,0,0,0,0,0,0,0,122,8,8,8,0,0.428571428571429,0.0125696908261531,0.00127113697800922
876,6,0,16,0,21,46,0,5,7,3815,2399,0,0,2571,368,0,16,41,89,38,38,38,3.79166666666667,0.236130867709815,0.0126388747324432,0.0332268945068956
884,3,0,0,1,6,0,0,2,6,19,27,0,0,0,0,0,6,0,116,2,2,2,0,0,0.0125050423557886,0.000362081277224862
893,3,0,0,0,18,0,0,1,8,1655,608,0,0,0,0,0,13,0,123,4,4,4,0,0,0.0125633232016211,0.00302066095177595
1377,0,0,0,0,0,0,7,2,10,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0.008,0.00035549491925867
1448,0,754,0,0,0,0,4,3,6,0,0,75691,64155,0,0,0,0,0,52,0,0,0,0,0,0.008,0.00035549491925867
1539,0,0,0,0,4,0,3,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.008,0.00035549491925867
1644,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.008,0.00035549491925867
1645,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0.008,0.00035549491925867
1652,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0.008,0.00035549491925867
1977,0,46,0,2,0,0,0,2,8,0,0,7683,3376,0,0,2,0,0,107,0,0,0,0,0,0.008,0.00035549491925867
2342,0,316,0,0,0,0,0,2,9,0,0,71806,44771,0,0,0,0,0,58,0,0,0,0,0,0.008,0.00035549491925867
378243,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0.008,0.00035549491925867
379031,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0.008,0.00035549491925867
379033,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0.008,0.00035549491925867
379589,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0.008,0.00035549491925867
379590,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0.008,0.00035549491925867
379593,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0.008,0.00035549491925867
379606,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0.008,0.00035549491925867
379607,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0.008,0.00035549491925867
379608,0,0,0,0,0,0,38,3,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0.008,0.00035549491925867
379609,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0.008,0.00035549491925867
379630,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0.008,0.00035549491925867
