"upeople_id","X424scmChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X424linesadded","X424linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
447615,0,0,0,0,0,0,0,70,0,0,0,0,0,0.00819672131147541,0.00244670179973012
447928,0,0,0,0,0,0,0,72,0,0,0,0,0,0.00819672131147541,0.00244670179973012
448097,0,0,0,0,0,0,0,76,0,0,0,0,0,0.00819672131147541,0.00244670179973012
448565,0,0,0,0,0,0,0,116,0,0,0,0,0,0.00819672131147541,0.00244670179973012
448581,0,0,0,0,0,0,0,81,0,0,0,0,0,0.00819672131147541,0.00244670179973012
449790,0,0,0,0,0,0,0,86,0,0,0,0,0,0.00819672131147541,0.00244670179973012
449799,0,0,0,0,0,0,0,87,0,0,0,0,0,0.00819672131147541,0.00244670179973012
449896,0,0,0,0,0,0,0,100,0,0,0,0,0,0.00819672131147541,0.00244670179973012
449909,0,0,0,0,0,0,0,101,0,0,0,0,0,0.00819672131147541,0.00244670179973012
449919,0,0,0,0,0,0,0,104,0,0,0,0,0,0.00819672131147541,0.00244670179973012
450062,0,0,0,0,0,0,0,106,0,0,0,0,0,0.00819672131147541,0.00244670179973012
450113,0,0,0,0,0,0,0,108,0,0,0,0,0,0.00819672131147541,0.00244670179973012
