"upeople_id","no_of_bug_owned","avg_resolution","X103scmChanges","X208scmChanges","X377scmChanges","X383scmChanges","X398scmChanges","X40scrChanges","X63scrChanges","X349scrChanges","X408scrChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X103linesadded","X103linesremoved","X208linesadded","X208linesremoved","X377linesadded","X377linesremoved","X383linesadded","X383linesremoved","X398linesadded","X398linesremoved","X40ReviewGotMerged","X63ReviewGotMerged","X349ReviewGotMerged","X408ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
395960,27,17.6,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
401620,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
404802,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
405723,135,8.2074,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
432588,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
432589,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
432600,1133,55.1989,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
432620,424,41.0591,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
432641,16,41.875,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
432896,82,8.3704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
433146,1,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
433641,12,155.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
433703,33,36.8182,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
433973,551,20.5519,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
434003,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
