"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X4scmChanges","X330scmChanges","X347scmChanges","X419scrChanges","X1mslChanges","number_of_domain","country","X4linesadded","X4linesremoved","X330linesadded","X330linesremoved","X347linesadded","X347linesremoved","X419ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
823,0,0,0,0,0,0,1,2,10,0,0,0,0,0,0,0,112,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
845,5,0,0,30,0,5,70,4,10,0,0,6380,744,0,0,5,51,2,2,2,0,0,0.0120181896925076,1.43793902493223e-06
849,284,0,0,685,0,329,812,2,10,0,0,85221,27785,0,0,284,53,26,26,26,237,0.104615384615385,0.0119547657512116,0.055881738336816
1377,85,0,0,45,0,111,59,2,10,0,0,28649,9263,0,0,85,14,8,8,8,0,0.357142857142857,0.011575763896131,0.122623515032647
1489,21,0,0,7,0,36,114,5,9,0,0,1476,69,0,0,21,3,8,8,8,0,0.285714285714286,0.0111748716399879,0.109166725769777
2218,0,0,0,0,0,0,6,4,8,0,0,0,0,0,0,0,41,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
2272,114,0,0,1581,0,133,558,3,6,0,0,211140,113481,0,0,114,1,18,18,18,150.933333333333,0.222222222222222,0.0123374458152718,0.0741801125165619
2430,288,0,0,154,0,310,152,1,7,0,0,141289,7502,0,0,288,4,18,18,18,259.333333333333,0.222222222222222,0.0123745819397993,0.0221928252577313
2454,3,0,0,4,0,8,13,4,9,0,0,2502,647,0,0,3,90,6,6,6,119.666666666667,0.266666666666667,0.0122841965471448,0.000850440419679282
2471,258,0,0,24,0,367,15,5,8,0,0,677,264,0,0,258,89,6,6,6,0,0.266666666666667,0.00934028946482666,0.0119766078121929
2568,2,0,0,2,0,12,0,1,7,0,0,32,21,0,0,2,69,4,4,4,4,0,0.0121311475409836,0.00471586637410017
2589,45,0,0,356,0,47,586,1,9,0,0,70351,24132,0,0,45,31,14,14,14,56,0.21978021978022,0.0122746876036713,0.0651334131183654
2590,2,0,0,280,0,2,173,2,7,0,0,714936,566790,0,0,2,30,4,4,4,0,0.333333333333333,0.0119188231504349,0.00197917985040401
2598,0,0,0,11,0,0,17,3,7,0,0,21404,21320,0,0,0,21,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
2600,12,0,0,2,0,13,5,5,7,0,0,48,1,0,0,12,42,6,6,6,0,0.266666666666667,0.0119419042495966,0.0617328037163357
2774,0,0,0,53,0,0,232,1,7,0,0,82956,2637,0,0,0,59,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
2776,0,0,0,96,0,0,80,1,10,0,0,4065,2044,0,0,0,58,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
2777,281,0,0,1620,0,308,609,8,10,0,0,170837,87622,0,0,281,52,16,16,16,66.3333333333333,0.15,0.0121670503123972,0.0192256462641074
2778,0,0,0,2915,0,0,680,2,6,0,0,291202,145509,0,0,0,56,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
2779,0,0,0,39,0,0,236,3,8,0,0,1089,613,0,0,0,18,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
2780,0,0,0,25,0,0,15,1,8,0,0,4572,3684,0,0,0,57,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
2782,0,0,0,1107,0,0,194,3,7,0,0,472760,301457,0,0,0,60,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
2784,0,0,0,134,0,0,24,2,9,0,0,40227,15028,0,0,0,61,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
2785,0,0,0,202,0,0,154,1,10,0,0,56997,29751,0,0,0,63,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
2786,0,0,0,68,0,0,63,2,8,0,0,16703,7175,0,0,0,62,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
2787,0,0,0,89,0,0,35,3,6,0,0,17906,9227,0,0,0,68,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
2789,0,0,0,239,0,0,421,1,9,0,0,139906,89132,0,0,0,83,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
